SentenceId	Phrase	Sentiment
122	absorbing character	2
123	violent vulgar forgettably entertaining	0
124	unsettling image war ravaged land prove potent riveting unlikely story sarah harrison	2
125	wind revelatory narcissistic achieving honest insight relationship high concept film candy coat pat storyline precious circumstance beautiful star	4
126	mostly martha mostly unsurprising still sweet even delectable diversion	4
127	thoughtful surprisingly affecting portrait screwed man dared mess powerful people seen eye idealistic kid chooses champion ultimately losing cause	4
128	keenly observed refreshingly natural swimming get detail right promenade barely clad body myrtle beach c adrenaline jolt sudden lunch rush diner	4
129	brilliant gag expense paid pay see	2
130	triumph film hews world carry u effortlessly darkness light	4
131	everyone involved seems coasting	0
132	fascinating dark thriller keep hooked delicious pulpiness lurid fiction	4
133	suspect kind production would funnier director released outtake theatrically used film bonus feature dvd	0
134	hard say might enjoy tolstoy groupie	0
135	daughter danang reveals effort toward closure open new wound	0
136	one year weirdly engaging unpredictable character piece	4
137	intriguing downright intoxicating	4
138	although fairly involving far go film n end much fresh say growing catholic really anything	0
139	movie silly beyond comprehension even n silly would still beyond comprehension	0
140	sleek arty	4
141	poor editing bad bluescreen ultra cheesy dialogue highlight radical action	0
142	lrb cho face rrb amazing slapstick instrument creating scrapbook living mug shot	4
143	get detail time frame right completely miss emotion	0
144	initial strangeness inexorably give way rote sentimentality mystical tenderness becomes narrative expedience	2
145	let brush humanity psycho without making le psycho	4
146	like world film hartley created monster n know handle	0
147	cowering begging foot scruffy giannini madonna give best performance since abel ferrara beaten pulp dangerous game	4
148	clumsy key moment make big splash	0
149	eight legged freak partly homage tarantula low budget b movie thriller movie silly lrb sophomoric rrb romp horror hellish condition	2
150	feel like light errol morris focusing eccentricity failing ultimately make something bigger scrapbook oddball	0
151	spielberg realization near future america masterful	4
152	scientific law discerned producer would well heed mediocre movie start drag soon action speed explosion start fall piece	0
153	one cool actor never seems aware coolness	4
154	feel like work artist simply tired fighting fight putting weight world shoulder playing narrative form	0
155	stale uninspired	0
156	director cut film love song movie also fully example kind lush enveloping movie experience rhapsodizes	4
157	rare capability soothe break heart single stroke	4
158	eerily accurate depiction depression	0
159	feature length film wear welcome tryingly title character	0
160	uncluttered resonant gem relay universal point without lecture confrontation	4
161	story alone could force scratch hole head	0
162	filmmaker post camp comprehension made old time b movie good bad make eight legged freak perfectly entertaining summer diversion	4
163	creature feature fan know cross toxic chemical bunch exotic creature get lot running around screaming death	2
164	bet make rather convoluted journey worth taking	2
165	take sudden turn devolves bizarre sort romantic comedy steven shainberg adaptation mary gaitskill harrowing short story brilliantly played deeply unsettling experience	4
166	kim ki deok seems mind lrb emotionally least rrb adolescent audience demanding regular shock bout barely defensible sexual violence keep interested	0
167	reason exist employ hollywood kid people owe favor famous parent	0
168	well made emotionally scattered film whose hero give heart dog	2
169	love cinema paradiso find new scene interesting find movie improved	2
170	campanella get tone right funny middle sad middle hopeful	4
171	nothing amiable unfocused bagatelle play like loosely connected string acting workshop exercise	0
172	sharp movie otherwise dull subject	4
173	wallace get bit heavy handed message time visual flair wax poetic far much taste	2
174	charming funny lrb ultimately silly rrb movie	2
175	one thing wild film imax film n chimp lot chimp blown size house	2
176	start mediocre spiral downward thud bottom pool utterly incompetent conclusion	0
177	child film truest sense	4
178	horrendously amateurish filmmaking plainly dull visually ugly n incomprehensible	0
179	beautifully crafted engaging filmmaking attract upscale audience hungry quality nostalgic twisty yarn keep guessing	4
180	awkwardly contrived exercise magic realism	0
181	punch line miss unfortunately outnumber hit three one	0
182	like smoke signal film also imbued strong theme familial tie spirituality powerful moving without stooping base melodrama	4
183	evokes style flash double cross made mamet house game last fall heist much fun	4
184	film aim funny uplifting moving sometimes	4
185	brief minute need x le blab	2
186	spalding gray equivalent teen gross comedy	2
187	great deal corny dialogue preposterous moment	0
188	uneven lot fun	4
189	result might look like vulgar	2
190	film rehash several old theme capped pointless extreme insanely violent graphic	0
191	dragon real star reign fire wo n disappointed	4
192	never play dramatic even dramatic thing happen people	0
193	manages please intended audience child without placing parent coma like state	4
194	movie generates plot point degree randomness usually achieved lottery drawing	0
195	though film never veers comic course unintentional parallel might inadvertently evoke memory emotion anything humorous	2
196	film depress life	0
197	saw tv probably turn convinced already seen movie	0
198	get impression writer director burr steer know territory sense humor yet lose smug self satisfaction usually associated better private school	0
199	superior horror flick	4
200	movie heavy handed screenplay navigates fast fade pomposity pretentiousness	2
201	little weak n funny	0
202	n fit well together neither well told	0
203	latently gay liking read hardly enough	2
204	sophisticated literate picture usually amusing little catch	4
205	storytelling feel slight	0
206	monte cristo smartly emphasizes well wrought story omits needle chase scene swordfights revenge unfolds	4
207	fairy tale come renowned indian film culture allows american finally revel splendor	4
208	well done supernatural thriller keen insight parapsychological phenomenon soulful nuance grieving process	4
209	bond save u latest eccentric super wealthy megalomaniac bent world domination destruction	2
210	depressing ruthlessly pained depraved movie equivalent staring open wound	0
211	damon brings proper conviction role lrb jason bourne rrb	4
212	parent beware downright movie penance	0
213	rich luscious care	4
214	singularly putting romantic comedy	0
215	director boris von sychowski instead opts routine slasher film probably fun make sit	2
216	would nice screenwriter trusted audience understand complex story left film predictable denouement	0
217	superfluous sequel plagued old familiar feeling let get thing everyone shown appointed time place visible enthusiasm mighty hard find	0
218	earnest roughshod document serf workable primer region recent history would make terrific th grade learning tool	4
219	cloak familiar anti feminist equation lrb career kid misery rrb tiresome romantic comedy dud	0
220	film play thing nice n safe often play like milquetoast movie week blown big screen	0
221	work transcends boy meet girl posturing typical love story	4
222	even predictable cliche ridden endeavor predecessor	0
223	play like bad blend overripe episode tv dawson creek recycled dumbed version love story	0
224	script cover huge heavy topic bland surfacey way n offer insight instance good thing happen bad people	0
225	film bad n improve upon experience staring blank screen	0
226	threw load money idea much even made teenage boy wrestling fan	0
227	difficult imagine confused le interesting sloppily made film could possibly come road	0
228	though film well intentioned one could rent original get love story parable	4
229	jolting charleston rhythm story sizzle old news finally found right vent lrb accurate	2
230		2
231	williams play sy another open faced smiling madman like killer insomnia	2
232	phoned business usual	0
233	lackadaisical plotting mindless action benjamin evokes bottom tier blaxploitation flick	0
234	ah yes would fighting urge doze	0
235	thoughtless random superficial humour lot bad scouse accent	0
236	era big star high production value standard procedure narc strike defiantly retro chord outpaces contemporary daring verve	4
237	rip roaring comedy action fest put hair chest	4
238	thoughtful heart well mind	4
239	miyazaki one world cinema wondrously gifted artist storyteller	4
240	chronicle one man quest president man single handedly turned plane full hard bitten cynical journalist essentially campaign end extended publicity department	4
241	provides kind laugh therapy need movie comedy offbeat humor amusing character happy ending	4
242	feel strangely hollow emotional core	0
243	time commercialism squeezed life whatever idealism american moviemaking ever godfrey reggio career shine like lonely beacon	4
244	director roger michell many little thing right difficult cuss severely bungling big stuff	2
245	robert harmon le approach delivers real bump night chill greatest triumph keeping creepy crawlies hidden film thick shadow	4
246	movie may highest production value ever seen work artist one whose view america history awkwardness human life generous deep	4
247	feral uncomfortable	0
248	sillier cuter shorter first lrb best remember rrb still good time cinema	4
249	enjoyable expected though laugh come fairly basic comedic construct	4
250	black white unrealistic	0
251	film predictable reassuring manner beautifully sung holiday carol	4
252	camouflage carvey considering paper bag wear head go public avoid recognized man bilked unsuspecting moviegoer	0
253	scare mood ominous pervasive unknown threat lurks proceeding add almost constant mindset suspense	4
254	computer animation handsome various amusing sidekick add much needed levity otherwise bleak tale overall film never rise mediocrity	0
255	offer flash rock video fused solid performance eerie atmosphere	4
256	breezy blend art history esoteric musing philosophy	4
257	former gong show addict admit complaint n get creation famous moment show	4
258	genuinely unnerving	4
259	increasingly diverse french director created film one honestly describe looking sounding simply feeling like film recent history	4
260	one joyous film leap national boundary celebrates universal human nature	4
261	difficult worthy film bite chew linking massacre armenian difficult relationship present	2
262	halfway movie humor dwindles	0
263	witty often surprising dark little morality tale disguised romantic comedy	4
264	one sens world traveler earlier film freundlich bear grievous obscure complaint father circle obsessively without making contact	0
265	fact even better	4
266	preachy parable stylized touch john woo bullet ballet	2
267	prof movie formula n need messing like big bug movie	2
268	uplifting largely bogus story	2
269	thanks confident filmmaking pair fascinating performance way destination really special walk wood	4
270	superbly photographed staged mendes series riveting set piece like mainstream audience rarely seen	4
271	mesmerizing cinematic poem first frame last	4
272	first minute worth seeing	4
273	become apparent franchise best year long past	0
274	screenwriter chris ver weil directing debut good natured never dull virtue small easily overshadowed predictability	2
275	much storytelling move away solondz social critique casting audience intellectual lector contemplation auteur professional injury	0
276	ultimately sarah dedication finding husband seems psychotic romantic nothing movie make convincing case one woman broken heart outweighs loss witness	0
277	joke flat action look fake	0
278	mildly enjoyable toothless adaptation much better book	2
279	fester dungpile swear watching monkey flinging feces	0
280	addition overcooked ham fisted direction actor reaching back row dialogue sound like horrible poetry	0
281	vile incoherent mess scummy ripoff david cronenberg brilliant videodrome	0
282	first movie try smart kinda dumb	0
283	sent copyof film review dvd	2
284	silly humbuggery	0
285	n sharp original despite visual virtue blade ii n cut	0
286	smart arch rather cold blooded comedy	4
287	lrb rrb rather thinly conceived movie	0
288	flame like roiling black white inspires trembling gratitude	4
289	robinson web suspense match page turning frenzy clancy creates	4
290	slight sweet film	4
291	got david lynch jones	2
292	earnest tentative even aim shock	2
293	time favor could given audience time day concentrating element revealing alienation among culture people sadly hostile odds one another recklessness retaliation	0
294	austin power goldmember right stuff silly summer entertainment enough laugh sustain interest end	4
295	puzzle lack emphasis music britney spear first movie	2
296	filmmaker might want look	2
297	maintaining appearance clinical objectivity sad occasionally horrifying often inspiring film among wiseman warmest	4
298	simply doubt film asks right question right time history country	4
299	dreary movie	0
300	sadly though many actor throw spark two first appear ca n generate enough heat cold vacuum comedy start reaction	0
301	filmmaker ivan prince fellow come across shallow glib though mean spirited indication responsible putting together movie particular value merit	0
302	using stock plot boy injects enough freshness proceeding provide enjoyable minute movie theater	4
303	beating austin power film game blaxploitation spoof downplays raunch favor gag rely strength cleverness opposed extent outrageousness	4
304	begin conventional thriller evolves gorgeously atmospheric meditation life changing chance encounter	4
305	buy popcorn	2
306	late night cable sexploitation romp masquerading thriller ruthless social order governs college clique	2
307	well intentioned effort still burdened actor offbeat sensibility earnest emotional core emerge degree accessibility	0
308	lrb allen rrb making piffle long hollywood ending may way saying piffle airhead movie business deserves right	2
309	seeing film lack momentum position remains mostly undeterminable director experiment successful one	4
310	judith zaza extended bedroom sequence intimate sensual funny psychologically self revealing make pass sex movie look like cheap hysteric	4
311	uneven performance spotty script add biting satire teeth	0
312	irritating soul searching garbage	0
313	solid spooky entertainment worthy price ticket	4
314	ultimately clarity matter breaking code making movie	2
315	comparison earlier film seems disappointingly thin slice lower class london life despite title amount surprisingly little	0
316	prof mainly south korean filmmaker make undemanding action movie alacrity hollywood counterpart	2
317	except much much better	4
318	happy heady jumble thought storytelling insane comic undertaking ultimately coheres sane breathtakingly creative film	4
319	one joke putting toilet seat	2
320	rrb	2
321	original base concept help get caught	4
322	appears made people idea narrative logic cohesion entirely foreign concept	0
323	ignore cliche concentrate city sea interpersonal drama ai n half bad	2
324	dreadful day irish history given passionate somewhat flawed treatment	4
325	see	4
326	nothing episode smackdown	0
327	guilty pleasure best worth seeing unless want laugh	2
328	perhaps better celebration unfairly dismissed hero would film n painfully forced false fabricated	0
329	relative letdown	0
330	hey arnold	2
331	though scratch surface least provides strong itch explore	4
332	band performance featured drumline red hot lrb rrb mere story point view film ice cold	2
333	non mystery mystery	0
334	leigh one rare director feel acting heart soul cinema	4
335	cast delivers without sham raw nerved story	4
336	monumental achievement practically every facet inept filmmaking joyless idiotic annoying heavy handed visually atrocious often downright creepy	0
337	filmmaker heart right place	2
338	one highly praised disappointment misfortune watch quite time	0
339	rock stand magic wane	0
340	roman polanski directs pianist like surgeon mend broken heart meticulously without passion	0
341	sadly garth n progressed nicely wayne	0
342	wit empathy spare waydowntown acknowledges silent scream workaday inertia stop short indulging character striving solipsism	2
343	labour storytelling	0
344	remember back thriller actually thrilled	0
345	otherwise good naturedness mr deed embrace sheer goofiness cameo le likely new york celebrity certainly raise film anything sandler attached	4
346	fails fundamentally every conventional level achieves kind goofy grandeur	0
347	ho hum affair always watchable yet hardly memorable	2
348	saw movie well probably accurate call movie	0
349	though uniformly well acted especially young ballesta galan lrb first time actor rrb writer director achero manas film schematic obvious	2
350	resurrect dead man hard copy come knocking	2
351	idea white man arriving foreign shore show wary native true light abhorrent simplistic heaven quite likely like hell	2
352	hard believe relationship like holly marina could survive hothouse emotion teendom longevity get inexplicable characterization turn crassly reductive	2
353	movie audience hour n connect neat way introduces character illuminate mystery sex duty love	2
354	purport hollywood satire wind kind film target something deeper engaging	0
355	clever nine tenth	4
356	waterboy	0
357	going motion zip gone	2
358	script snazzy dialogue establishes realistic atmosphere involves u unfolding crisis lazy plotting ensures little emotional investment pay	2
359	good original	2
360	moviegoer would automatically bypass hip hop documentary give scratch second look	4
361	bigelow offer flashy twist turn occasionally fortify turgid fable	4
362	unsophisticated sci fi drama take seriously	0
363	stupid infantile redundant sloppy top amateurish	0
364	resident evil come taking john carpenter ghost mar eliminating beheading	2
365	movie resolutely avoids comic possibility situation becomes one dumb high school comedy sex gag prom date	0
366	without sex wonderful tale love destiny told well master storyteller	4
367	though go anyone seen hunger cat people find little new tasty performance vincent gallo lift tale cannibal lust ordinary	4
368	terrific date movie whatever orientation	4
369	expectation laughter quashed whatever obscenity hand even funniest idea n funny	0
370	make movie depth man lacked	0
371	translation n need try hard	0
372	frailty offer chill much like get sitting around campfire around midnight telling creepy story give willies	4
373	le front loaded shapely two hour version released	2
374	ambitious movie like shiner organizing big fight pull enough effect make one n come	4
375	movie suck despite flaw heaven one beast	4
376	well written directed brutal honesty respect audience	4
377	twenty year first release e remains wondrous hollywood fantasy apex steven spielberg misunderstood career	4
378	gooding offer desperately ingratiating performance	0
379	stumble every cheap trick book trying make outrage come even easier	0
380	nicely combine enigmatic feature memento hallucinatory drug culture requiem dream	4
381	every individual see movie prism belief prejudice one thing take away sense peace possible	4
382	bunch good actor flailing around caper neither original terribly funny	0
383	ill conceived expensive project wind looking like bunch talented thesps slumming	0
384	broder screenplay shallow offensive redundant pitifully real laugh	0
385	leguizamo jones excellent rest cast uniformly superb	4
386	trying figure rule country bear universe bear bear like human hairier would tax einstein brain	0
387	feardotcom making interesting meditation ethereal nature internet otherworldly energy could channel simply becomes routine shocker	2
388	delia greta paula rank three multilayered sympathetic female character year	4
389	beauty alexander payne ode everyman detail	4
390	town kind authentic feel one people stand everybody else background seems manufactured artificial	0
391	julie davis kathie lee gifford film director sadly proving ego n always go hand hand talent	0
392	much credit must given water camera operating team king sonny miller michael stewart	4
393	film aussie david caesar channel quite dead career guy ritchie	2
394	averse usually feel good follow dream hollywood fantasy one got	4
395	maybe formula filmmaking nothing wrong film well crafted one	4
396	would laugh tuba playing dwarf rolled hill trash	2
397	loses sense humor vat failed joke twitchy acting general boorishness	0
398	misty eyed southern nostalgia piece treading line sappy sanguine wind mired tear drenched quicksand	0
399	oblivious existence film would sweet indeed	0
400	despite flaw belinsky still able create engaging story keep guessing almost every turn	4
401	porn film without sex scene	2
402	movie play cartoon obvious strength snazziness neglecting le conspicuous writing strength	2
403	notwithstanding problem movie final half hour going recommend secretary based wonderful acting clinic put spader gyllenhaal also unique way shainberg go telling heart sweet little girl	4
404	despite slick production value director roger michell tick tock pacing final effect like two guy yelling face two hour	0
405	barbershop good hearted ensemble comedy variety quirky character engaging story	4
406	soulless jumble ineptly assembled cliche pabulum play like minute commercial nba property	0
407	ambitious serious film manages virtually everything wrong sitting something akin act cinematic penance	2
408	consistently clever suspenseful	4
409	soderbergh skim fat film	4
410	hilarious musical comedy though stymied accent thick mud	2
411	movie like guy film criticism considered work	0
412	anyone suffers film deserves least big box consolation candy	0
413	bearable	2
414	cremaster tough pill swallow minor miracle self expression	4
415	kouyate elicits strong performance cast delivers powerful commentary government lie matter run	4
416	see performance nothing else	4
417	asylum material gripping scene jia family	4
418	walked away new version e hoped would moist eye	4
419	attal push hard make comedy serious drama	0
420	play like corny television production bygone era	0
421	powerful though flawed movie guaranteed put lump throat reaffirming washington possibly best actor working movie today	4
422	solondz may well one laughing joke	0
423	case two actor everything humanly possible create character sweet believable defeated screenplay force bizarre implausible behavior	0
424	enjoyment hinge personal threshold watching sad endearing character extremely unconventional thing	4
425	body smack exhibitionism cathartic truth telling	0
426	though writer director bart freundlich film ultimately becomes simplistic story dysfunctional parent child relationship special quality soulful gravity crudup anchoring performance	4
427	lrb carvey rrb character overplayed exaggerated subtlety never trademark	0
428	beautifully animated epic never dull	4
429	charming witty also somewhat clumsy	4
430	one scene get stab soccer hooliganism double barreled rip quentin tarantino climactic shootout meat loaf explodes	0
431	frustratingly refuse give pinochet crime political context	0
432	paul bettany playing malcolm mcdowell	2
433	serviceable euro trash action extravaganza decent sense humor plenty thing go boom handgun bmws seaside chateau	2
434	veteran dating war smirk uneasily film nightmare version everyday sex city misadventure	2
435	sends away believer quite cheered	4
436	rollerball sequence feel sanitised stagey	0
437	interview assassin structured le documentary found relic film difficult time shaking blair witch project real time root	0
438	remarkable epic scope startling intimacy achieves despite breadth	4
439	nearly hour film way indulgent	0
440	seems like something american european gay movie year ago	0
441	claim sort bad guy good essential problem	0
442	mana give u compelling damaged character want help hurt	2
443	good looking relentlessly lowbrow outing play like clueless south fork	0
444	evokes palpable sense disconnection made poignant incessant use cell phone	4
445	concept hoot	4
446	straight shooting family film award animal respect rarely given	4
447	directive protect code cost also begin blur importance man code merge	2
448	eric schaeffer accomplished never may strictly speaking qualify revolutionary	2
449	obvious obnoxious didactic burlesque	0
450	one say balding year old actor playing innocent boy carved log	2
451	ca n seem get anywhere near story center	2
452	even million u budget pinocchio never quite achieves feel fanciful motion picture	0
453	little intensity little le charm would saved film world hurt	0
454	like jaglom film honestly affecting seems contrived secondhand	0
455	maelstrom deliberately unsteady mixture stylistic element	2
456	bring battle bot please	4
457	sweet home alabama n going win academy award date night diversion definitely win heart	4
458	love may air onscreen certainly n feeling	0
459	long larded exposition somber cop drama ultimately feel flat scruffy sand titular community	0
460	young star cute story ensuing complication manipulative message blatant resolution convenient	0
461	way lagaan quintessential bollywood	2
462	characteristically engorged sloppy coming age movie	0
463	wry affectionate delight	4
464	credit director ramsay taking sometimes improbable story making feel realistic	4
465	auteur ear way fear slight telegraphed blithe exchange give film lingering tug	4
466	get better foster leaf little room	4
467	despite lavish formalism intellectual austerity film manages keep edge seat shape shifting peril political intrigue brush calamity	4
468	friday next kind film could made african american broad racial insensitivity towards african american	0
469	lively account seinfeld deadpan	0
470	brings awareness issue often overlooked woman depression	2
471	imagine film begin seven rip switch mix shining thing naked teenager horror flick	0
472	definitely funny stuff laughing variety laughing	4
473	heartening tale small victory enduring hope	4
474	emotionally strong politically potent piece cinema	4
475	extremely unpleasant film	0
476	intellectually scary dramatically involving	0
477	puzzling experience	2
478	jonah addition biblical message either improve film lessen	2
479	hope movie widely seen debated appropriate ferocity thoughtfulness	4
480	intelligent moving	4
481	film busy hitting assigned mark take life	0
482	mark wahlberg may look classy homage pokepie hat character dry dry dry	2
483	moral shrapnel mental shellshock linger long film ended	4
484	warren stumble search emotion life experience neglected year	2
485	stayed	0
486	pile useless actioners mtv schmuck n know tell story four minute	0
487	first time director sara sugarman stoop character drop pant laugh last time fails provoke	0
488	point view contemporary interpretation joan prefeminist plight left thinking reason make movie present standard allow plenty nudity	0
489	strong directorial stamp every frame stylish film able visualize schizophrenia still confident enough step back look sick character sane eye	4
490	romantic riveting handsomely animated	4
491	overproduced piece dreck shockingly bad absolutely unnecessary	0
492	saccharine disposable	0
493	capture raw comic energy one flamboyant female comic	4
494	subtle poignant picture goodness flawed compromised sad	2
495	exceptionally acted quietly affecting cop drama	4
496	even summertime restless young audience deserves dignity action hero motivated something franchise possibility	0
497	perfectly pitched comedy tragedy hope despair schmidt instead come far closer many movie expressing way many u live someplace consuming self absorption insistently demanding otherness	4
498	nearly glow enthusiasm sensuality conniving wit	4
499	despite modest aspiration occasional charm dismissed	4
500	exaggerated broad come annoying rather charming	0
501	strange funny twisted brilliant macabre	4
502	film thrown together feel summer camp talent show hastily written underrehearsed arbitrarily plotted filled crude humor vulgar innuendo	0
503	cast come even movie n	2
504	rock solid gangster movie fair amount suspense intriguing character bizarre bank robbery plus heavy dose father son dynamic	4
505	degrading strangely liberating see people working hard leading life sexy intrigue revealed dispassionate gantz brother ordinary pasty lumpen	4
506	innocuous enough make even jean claude van damme look good	2
507	essence magic make believe promise life soar material realm opposite truly magical movie	0
508	storytelling prowess special effect listless	0
509	stopped thinking good started nothing reacting feeling part grand location thinking urgently protagonist struggled feeling mercy inventiveness gasping visual delight	4
510	newcomer helmer kevin donovan hamstrung badly handled screenplay really amusing concept high tech tux transforms wearer superman	2
511	one hour photo may seem disappointing generality little nuance perhaps escape director mark romanek self conscious scrutiny happen finally get skin	0
512	confrontational stance todd solondz take aim political correctness suburban family	2
513	processed comedy chop suey	0
514	eventually arrives heart simple self reflection meditation	4
515	prof lovely trifle unfortunately little love cuteness	0
516	purely enjoyable might even notice fairly straightforward remake hollywood comedy father bride	4
517	intelligent multi layered profoundly humanist lrb mention gently political rrb meditation value knowledge education affect cultural geographical displacement	4
